dataset,,CIFAR100LT,CIFAR100LT,CIFAR100LT,CIFAR100LT,CIFAR100LT,CIFAR10LT,CIFAR10LT,CIFAR10LT,CIFAR10LT,CIFAR10LT
imbalance factor,,1,10,50,100,200,1,10,50,100,200
,loss,,,,,,,,,,
acc,BalancedSoftmax,,0.5999,0.4845,0.4447,0.3823,,0.8694,0.7992,0.7601,0.7034
acc,CrossEntropyLoss,0.7313,0.5865,0.4544,0.406,0.3492,0.9283,0.8717,0.7779,0.7065,0.6426
